# START,0,0,0,0,0,0
# TARGET,1.5708,0,0,0,0,0
# OBS,-0.6,-0.4,-0.6,-0.4,-1,0.5
Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
201,0.211524,-0.110639,-0.0792403,-0.240746,0.159401,-0.11345,1.40085
202,0.207555,-0.0866666,-0.00171006,-0.29272,0.299245,-0.194337,1.44185
203,0.157458,-0.212553,-0.0486658,-0.248593,0.166226,-0.193617,1.47377
204,0.176635,-0.111175,-0.00702632,-0.341722,0.289991,-0.308146,1.50064
205,0.254268,-0.235885,-0.0927262,-0.194382,0.0974576,-0.345339,1.40144
206,0.262224,-0.0858847,-0.214178,-0.066672,0.218854,-0.171059,1.35912
207,0.412224,-0.120322,-0.227772,-0.123784,0.164884,-0.0192397,1.20479
208,0.41256,-0.00612544,-0.149894,-0.284144,0.208128,-0.0404136,1.22054
209,0.383375,0.0964157,-0.148104,-0.120904,0.168807,0.0201957,1.21849
210,0.309827,-0.0053943,0.000438338,-0.138096,0.182613,-0.0499901,1.28257
211,0.286241,-0.121948,0.0129651,-0.281598,0.259558,-0.161129,1.35564
212,0.436241,-0.0374403,-0.098911,-0.170355,0.362571,0.00745947,1.20786
213,0.430578,-0.153736,-0.110109,-0.173833,0.206819,-0.087558,1.19017
214,0.435978,-0.00373576,-0.0683837,-0.373833,0.376538,-0.215261,1.27294
215,0.412737,0.0176795,-0.154675,-0.224226,0.235237,-0.218281,1.23231
216,0.362821,-0.00907284,-0.0416667,-0.424226,0.282759,-0.080033,1.31429
217,0.441685,0.0504906,0.0075767,-0.318855,0.255559,-0.253371,1.22828
218,0.469379,-0.0303089,-0.0238011,-0.321148,0.167166,-0.379815,1.22063
219,0.322308,-0.0500499,-0.0818833,-0.146125,-0.0328336,-0.36222,1.31208
220,0.383381,-0.0340743,0.00312501,-0.0719747,0.0207959,-0.16222,1.20127
221,0.424519,-0.135413,-0.0895498,-0.143069,-0.0176013,-0.149245,1.17616
222,0.336458,-0.119215,0.00147758,-0.16057,-0.185221,-0.282043,1.29516
223,0.361004,-0.0234308,0.129127,-0.0921391,-0.336916,-0.298241,1.30068
224,0.339209,-0.157569,-0.0208727,-0.0965348,-0.136916,-0.164065,1.26375
225,0.368263,-0.0219833,-0.131027,0.0792652,-0.195697,-0.0950144,1.23181
226,0.312936,0.00779572,-0.043749,0.0857551,-0.0554899,0.0359424,1.26329
227,0.283689,-0.142204,-0.108975,-0.00683401,0.110929,0.176507,1.31615
228,0.433689,-0.139736,-0.174566,-0.0112222,0.0801442,0.371159,1.21956
229,0.406643,-0.154294,-0.14221,0.133976,0.106808,0.338752,1.24233
230,0.322738,-0.136868,-0.126764,-0.0254452,0.279605,0.180234,1.30528
231,0.305944,-0.033259,-0.00871895,-0.126467,0.232638,0.354483,1.34045
232,0.402577,-0.0107257,-0.131778,-0.202731,0.372416,0.277567,1.28026
233,0.298631,0.0016311,-0.223594,-0.0158088,0.428974,0.14121,1.36843
234,0.373783,-0.0163775,-0.0735941,-0.0326362,0.555627,0.301133,1.35609
235,0.416221,0.0229911,0.0292358,0.0707312,0.611467,0.365924,1.35913
236,0.292586,-0.0371571,0.0770589,0.136595,0.55764,0.16634,1.41366
237,0.229161,-0.148186,0.227059,0.0700331,0.660987,0.132357,1.52736
238,0.206513,0.00108127,0.15917,0.162943,0.48684,-0.00891455,1.46637
239,0.0565134,0.137606,0.00916972,0.233849,0.601143,-0.0282302,1.65195
240,0.205097,0.198031,0.0433472,0.262121,0.493123,0.0669663,1.49084
241,0.17244,0.0970616,0.193347,0.22889,0.399404,-0.0785541,1.49006
242,0.159595,0.113382,0.107143,0.0958268,0.460727,0.015988,1.49584
243,0.309595,-0.0366185,0.0610708,0.215211,0.38998,0.097505,1.34298
244,0.32934,-0.185274,-0.0676965,0.312952,0.349444,0.141861,1.34918
