s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
1,133,1,80,6.81355,1.83875,2.47651,0.0213544,2.47694,0.0961981
1,132,1,93,6.93239,2.09823,1.86342,0.0275304,2.94321,0.0991858
1,131,1,91,7.39327,2.09679,2.75238,0.0216153,2.52249,0.0975277
1,130,1,78,7.55915,1.81469,3.43205,0.0183154,2.2941,0.0891122
1,129,1,107,9.53327,2.59678,4.03406,0.023363,2.87906,0.0968527
1,128,1,83,7.7852,1.89873,3.53438,0.0200949,2.33199,0.0910379
1,127,1,108,9.3627,2.52196,3.41667,0.0242215,3.39985,0.0421073
1,126,1,95,7.1276,2.1393,2.34001,0.0228345,2.62545,0.0159178
1,125,1,104,8.74179,2.48082,3.49147,0.0217694,2.74772,0.0912441
1,124,1,82,7.20432,1.88732,3.10703,0.0178258,2.19215,0.0581371
1,123,1,97,8.10223,2.23145,3.10513,0.0212401,2.7444,0.0403141
1,122,1,85,7.86961,1.97175,3.4321,0.0190318,2.44673,0.0759399
1,121,1,107,8.45242,2.55189,3.15339,0.0265484,2.72059,0.0887543
1,120,1,91,6.92961,2.11076,1.99259,0.0271486,2.79911,0.0765746
1,119,1,106,9.13641,2.4753,3.95752,0.0187241,2.68487,0.0763338
1,118,1,114,8.00747,2.55515,1.84072,0.0330219,3.57858,0.098726
1,117,1,108,8.55656,2.45749,3.4474,0.021308,2.63036,0.0897346
1,116,1,77,6.73118,1.77046,2.69507,0.0200966,2.24555,0.0933316
1,115,1,102,7.48879,2.28835,2.44898,0.0206128,2.73083,0.0683238
1,114,0,200,16.2229,4.53861,7.51823,0.0363199,4.1297,0.475132
1,113,1,97,6.74779,2.21092,1.92495,0.0237564,2.58816,0.0789977
1,112,1,124,8.30854,2.78999,2.01247,0.0296986,3.47638,0.0209635
1,111,1,136,9.63853,3.07377,2.58062,0.0311417,3.95299,0.0536233
1,110,1,81,7.47162,1.8392,3.26547,0.017271,2.34968,0.0974299
1,109,1,91,7.619,2.11519,3.08359,0.0198082,2.40041,0.0998648
1,108,1,98,8.45528,2.26571,3.3819,0.0147764,2.79289,0.0576502
1,107,1,93,8.02498,2.15132,3.34128,0.0189849,2.51339,0.0343745
1,106,1,103,7.85406,2.38896,3.1941,0.01826,2.25274,0.0466775
1,105,1,93,8.53754,2.1671,3.64571,0.0216999,2.70303,0.0604834
1,104,1,85,6.96483,2.04379,2.38423,0.0231285,2.51368,0.0750835
1,103,0,42,2.56697,0.951794,1.08049,0.00377772,0.530905,2.85396
1,102,1,92,7.47483,2.19672,2.8012,0.0158787,2.46103,0.073203
1,101,1,89,7.68515,2.08991,3.5535,0.0176648,2.02408,0.0305796
1,100,1,121,10.5272,2.80835,4.742,0.0221873,2.9547,0.0734215
1,99,1,126,10.9305,2.91028,4.75231,0.0266244,3.24129,0.099753
1,98,1,116,8.90514,2.77035,3.41815,0.0202189,2.69641,0.0585963
1,97,1,83,6.1469,1.89019,2.01801,0.00656134,2.23213,0.0940194
1,96,1,95,7.63079,2.23466,3.0519,0.02308,2.32114,0.0890538
1,95,1,117,9.80914,2.70241,4.37012,0.020726,2.71588,0.0628911
1,94,1,82,8.07584,1.90639,4.02885,0.0171164,2.12348,0.0675544
1,93,1,90,7.55263,2.0856,3.02153,0.0142359,2.43127,0.0735924
1,92,1,91,7.20756,2.13973,2.77604,0.0198827,2.27191,0.0806102
1,91,1,105,7.83711,2.38209,2.336,0.0284804,3.09054,0.0896977
1,90,1,83,7.68438,1.91032,3.22706,0.0226228,2.52437,0.0653212
