map,is_failed,is_landed,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
30,0,1,144,1.96518,1.43174,0.287118,0.00436863,0.241956,0.349446
29,0,1,107,1.49571,1.06483,0.255332,0.00302305,0.172533,0.144206
28,0,1,146,2.0755,1.45102,0.379236,0.0028238,0.242414,0.481268
27,1,0,200,2.78324,1.96934,0.488401,0.00527111,0.320226,1.23456
26,0,1,111,1.55169,1.10535,0.238667,0.00294276,0.20473,0.313601
25,0,1,115,1.65536,1.15085,0.309875,0.00200666,0.192634,0.262762
24,1,0,200,2.84907,1.97292,0.533098,0.00416561,0.338882,1.42851
23,0,1,112,1.53213,1.11241,0.228948,0.00321581,0.187556,0.3275
22,0,1,178,2.67505,1.7633,0.589147,0.00422106,0.318382,0.529304
21,0,1,129,1.81126,1.28372,0.314559,0.00416522,0.208823,0.294759
20,0,1,110,1.57394,1.09356,0.282911,0.00352548,0.193941,0.150559
19,0,1,166,2.22778,1.6455,0.299651,0.00324046,0.279385,0.615194
18,0,1,130,1.79515,1.29082,0.285061,0.00407129,0.215195,0.0352337
17,0,1,125,1.75757,1.24072,0.306808,0.00288262,0.207159,0.205428
16,0,1,113,1.58654,1.12722,0.263538,0.00247614,0.19331,0.122162
15,0,1,144,2.08773,1.43178,0.415581,0.00285111,0.237524,0.528663
14,0,1,154,2.12126,1.52877,0.341499,0.00315226,0.247842,0.225498
13,0,1,135,1.94677,1.34322,0.353588,0.00429373,0.245666,0.157086
12,0,1,140,1.99386,1.39289,0.361479,0.00360865,0.235887,0.58089
11,0,1,116,1.60581,1.15168,0.260222,0.00246522,0.191435,0.329024
10,0,1,177,2.37222,1.75887,0.330289,0.00522644,0.277835,0.215471
9,0,1,122,1.69713,1.21142,0.283219,0.00247999,0.200018,0.351449
8,0,1,129,1.76784,1.2848,0.264257,0.00367852,0.215104,0.21844
7,0,1,137,1.93212,1.36445,0.33637,0.00340787,0.227893,0.25694
6,0,1,139,1.88594,1.37864,0.259383,0.00305487,0.244863,0.214292
5,0,1,112,1.54363,1.11896,0.243802,0.00365369,0.177209,0.0303573
4,0,1,142,2.02081,1.41062,0.36095,0.00340478,0.245826,0.227287
3,0,1,129,1.78236,1.28003,0.287569,0.00341532,0.211347,0.245448
2,0,1,132,1.8459,1.31017,0.303371,0.00286761,0.229494,0.196036
1,0,1,140,1.92318,1.39297,0.287183,0.00389301,0.239132,0.69364
0,0,1,120,1.72411,1.19406,0.31404,0.00375114,0.212252,0.270116
